"combo_idx","scenario","n","type","prop","mechanism","method","is_mi","n_files","manifest","manifest_rows","done","expected_done","shortfall","n_skipped_no_arm","n_error","n_to_patch","error_message","basis","n_orphan_tmp","orphan_tmp","n_patched","n_unpatched","n_skipped_mi_files","n_no_arm_files","n_unreadable","first_unpatched_run","last_patched_run","patch_window_start","died_at","span_minutes","diagnosis"
44,5,500,"both",0.3,"MNAR-Y","regression",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
45,1,500,"both",0.3,"MAR","missing_indicator",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
46,2,500,"both",0.3,"MAR","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:29:50.794254,2026-08-13 14:30:40.558007,0.83,"ok"
47,4,500,"both",0.3,"MAR","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:30:43.565732,2026-08-13 14:31:38.525201,0.92,"ok"
48,5,500,"both",0.3,"MAR","missing_indicator",FALSE,100,FALSE,NA,0,100,100,0,0,0,NA,"files",0,NA,0,100,0,0,0,1,NA,NA,NA,NA,"no_manifest_files_unpatched"
49,1,500,"both",0.3,"MNAR","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:34:33.033147,2026-08-13 14:35:22.510454,0.82,"ok"
50,2,500,"both",0.3,"MNAR","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:39:27.729072,2026-08-13 14:40:19.941005,0.87,"ok"
51,4,500,"both",0.3,"MNAR","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:31:53.708718,2026-08-13 14:32:38.981845,0.75,"ok"
52,5,500,"both",0.3,"MNAR","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:46:56.278161,2026-08-13 14:47:25.499931,0.49,"ok"
53,2,500,"both",0.3,"MNAR-Y","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:41:31.463738,2026-08-13 14:41:58.624819,0.45,"ok"
54,4,500,"both",0.3,"MNAR-Y","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:33:13.882399,2026-08-13 14:35:00.723033,1.78,"ok"
55,5,500,"both",0.3,"MNAR-Y","missing_indicator",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:41:31.464024,2026-08-13 14:41:55.032506,0.39,"ok"
56,1,500,"both",0.3,"MAR","IPW",FALSE,100,TRUE,100,100,100,0,0,0,0,NA,"mtime",0,NA,100,0,NA,NA,NA,NA,100,2026-08-13 14:46:57.02494,2026-08-13 14:47:30.799803,0.56,"ok"
