"scenario","n","n_reps","stage1_bias_mean","stage1_bias_mcse","final_bias_mean","final_bias_mcse","ols_bias_mean","ols_bias_mcse","stage2_contribution","forest_minus_ols","mse_mean","corr_mean","te_exact_maxdev","flag"
3,1000,50,0.00286239706447754,0.00499965820085129,0.00250840661901129,0.00496516936120915,0.00286239706447754,0.00499965820085129,-0.000353990445466254,-0.000353990445466259,0.0300981558905536,0.986881458032694,0,"not distinguishable from 0"
4,100,50,0.0149390852568027,0.014972179928951,0.0134549406259703,0.0151190242184626,0.0149390852568027,0.014972179928951,-0.00148414463083239,-0.00148414463083239,0.22724764875224,0.933237377150171,0,"not distinguishable from 0"
4,250,50,-0.0184371003259389,0.0103401453987995,-0.018899313094026,0.0105091751723112,-0.0184371003259389,0.0103401453987994,-0.000462212768087077,-0.00046221276808708,0.100857047463831,0.962498060503115,0,"not distinguishable from 0"
4,500,50,-0.00738218283475571,0.0072306644765331,-0.00741349294295686,0.00727625248041064,-0.00738218283475571,0.0072306644765331,-3.13101082011474e-05,-3.13101082011448e-05,0.0671581475083457,0.971973066852436,0,"not distinguishable from 0"
4,1000,50,0.0145044751511356,0.00428029959326916,0.0140579776224035,0.00424963457350558,0.0145044751511356,0.00428029959326916,-0.000446497528732156,-0.000446497528732158,0.0427522647081098,0.980961168197682,0,"PERSISTS at largest n tested - investigate"
5,100,50,-0.000681159454285697,0.0140203059637136,0.000878469038269015,0.0140614692160956,-0.000681159454285694,0.0140203059637136,0.00155962849255471,0.00155962849255471,0.334258411400836,0.762608753298839,0,"not distinguishable from 0"
5,250,50,0.00206226313633332,0.00886362583041781,0.00327826236348666,0.00886633425712026,0.00206226313633331,0.00886362583041781,0.00121599922715333,0.00121599922715334,0.204602025752867,0.866510216824879,0,"not distinguishable from 0"
5,500,50,0.00010506077751146,0.0059358343663415,0.00128694747677628,0.0059853789488031,0.000105060777511452,0.0059358343663415,0.00118188669926482,0.00118188669926483,0.117075714692173,0.929214069053985,0,"not distinguishable from 0"
5,1000,50,0.00352299505712146,0.00526096236170841,0.0040843072479066,0.00524717295434929,0.00352299505712146,0.00526096236170841,0.00056131219078514,0.000561312190785139,0.0496234642661512,0.971570696779851,0,"not distinguishable from 0"
6,100,50,-0.0159026333249951,0.0133126656155055,-0.0153189220934237,0.0134812634623701,-0.0159026333249951,0.0133126656155055,0.000583711231571336,0.000583711231571339,0.113459271763262,0.959239104570293,0,"not distinguishable from 0"
6,250,50,0.00720824510014978,0.0100828127346165,0.00831321173465437,0.0100284478919757,0.00720824510014978,0.0100828127346165,0.00110496663450459,0.00110496663450459,0.0525084120197231,0.975768914023355,0,"not distinguishable from 0"
6,500,50,-0.00866353636590031,0.00605531943493315,-0.00844721592570397,0.00601675160548707,-0.00866353636590031,0.00605531943493315,0.000216320440196344,0.000216320440196344,0.0296503503402804,0.985821289043211,0,"not distinguishable from 0"
6,1000,50,-0.00229973498708799,0.00463119294153761,-0.00211655119363035,0.00465504038058632,-0.00229973498708799,0.00463119294153761,0.000183183793457634,0.000183183793457639,0.0181839401449111,0.990934236861299,0,"not distinguishable from 0"
7,100,50,0.0117765530963887,0.0129225676382273,0.0114969755718475,0.0128694422657553,0.0117765530963887,0.0129225676382273,-0.000279577524541171,-0.000279577524541162,0.255837701060346,0.0975481550489437,0,"not distinguishable from 0"
7,250,50,-0.00112131540912253,0.00775378996201371,-0.00078702628498605,0.00779066911787613,-0.00112131540912253,0.00775378996201371,0.000334289124136477,0.000334289124136483,0.205311571349382,0.460095069059721,0,"not distinguishable from 0"
7,500,50,0.0111808896725207,0.00686747089303753,0.0113608790589066,0.00679426992368829,0.0111808896725207,0.00686747089303753,0.000179989386385906,0.00017998938638591,0.179685232715556,0.709183059257403,0,"not distinguishable from 0"
7,1000,50,0.00102745797352933,0.0044606232179962,0.000648899932056637,0.00442766250913274,0.00102745797352933,0.0044606232179962,-0.00037855804147269,-0.000378558041472694,0.128047493320689,0.865061427173664,0,"not distinguishable from 0"
8,100,50,0.0165385278193152,0.0164689223193287,0.0191286269279123,0.0164781038097161,0.0165385278193152,0.0164689223193287,0.00259009910859707,0.00259009910859707,0.484873438855406,0.835934612282485,0,"not distinguishable from 0"
8,250,50,-0.00540576309799409,0.00806202489613556,-0.00281269832856452,0.00810328712909645,-0.00540576309799409,0.00806202489613556,0.00259306476942957,0.00259306476942957,0.309150372312042,0.884171047114895,0,"not distinguishable from 0"
8,500,50,-0.00938739995806761,0.00599157765606907,-0.00875412009328343,0.00604800075116188,-0.0093873999580676,0.00599157765606907,0.000633279864784175,0.00063327986478417,0.210717444974689,0.921915963568372,0,"not distinguishable from 0"
8,1000,50,0.00106013655052318,0.00447291309281122,0.0020622939043087,0.00445236565472919,0.00106013655052317,0.00447291309281122,0.00100215735378552,0.00100215735378552,0.130701520397279,0.95310566003551,0,"not distinguishable from 0"
9,100,50,0.0206764193621876,0.015596835628817,0.0279845336947691,0.0157348364621417,0.0206764193621876,0.015596835628817,0.00730811433258154,0.00730811433258153,0.161646575633122,0.537028343910496,0,"not distinguishable from 0"
9,250,50,0.0165155436362233,0.0078250919217264,0.0206947269772672,0.00781525497346655,0.0165155436362233,0.0078250919217264,0.00417918334104386,0.00417918334104386,0.0834673522051171,0.843836152049103,0,"shrinking with n - looks like forest smoothing"
9,500,50,-0.00157668537124835,0.00668226364501975,-1.12153367034634e-05,0.00666732178121942,-0.00157668537124835,0.00668226364501975,0.00156547003454489,0.00156547003454489,0.0432521539757628,0.921681537946893,0,"not distinguishable from 0"
9,1000,50,0.000591860555874271,0.00467150686349061,0.00164350839553917,0.00468392953288364,0.000591860555874264,0.00467150686349061,0.0010516478396649,0.00105164783966491,0.0240656868205288,0.950386984761474,0,"not distinguishable from 0"
10,100,50,-0.0132092146525892,0.0154898445502341,-0.0110317568433962,0.0155813068991551,-0.0132092146525892,0.0154898445502341,0.00217745780919304,0.00217745780919304,0.034806825534814,0.17909964371624,0,"not distinguishable from 0"
10,250,50,0.00031359118368022,0.00871077183696269,0.00036228513351347,0.00879696661051884,0.000313591183680221,0.00871077183696269,4.86939498332497e-05,4.86939498332481e-05,0.0225640955312091,0.329897277708616,0,"not distinguishable from 0"
10,500,50,0.00993783595454684,0.00560650143998659,0.0101625978007345,0.00554920779778042,0.00993783595454684,0.00560650143998659,0.0002247618461877,0.0002247618461877,0.018094611949622,0.41832966347798,0,"not distinguishable from 0"
10,1000,50,0.000821154061348778,0.00475375562829196,0.00128009569722572,0.00476456436298215,0.000821154061348782,0.00475375562829196,0.000458941635876945,0.000458941635876941,0.0125937262751352,0.634270056952375,0,"not distinguishable from 0"
